0,가르시아,2018,0.33899999999999997,50,183,27,62,9,0,8,95,9,8,25,0.519,0.38299999999999995,0.902,0.36
1,강경학,2015,0.257,120,311,50,80,7,4,2,101,40,5,58,0.325,0.348,0.6729999999999999,0.3107569721115538
1,강경학,2016,0.158,46,101,16,16,3,2,1,26,8,2,30,0.257,0.23199999999999998,0.489,0.21428571428571427
1,강경학,2018,0.278,77,245,42,68,11,1,5,96,38,4,59,0.392,0.382,0.774,0.34806629834254144
297,진갑용,1997,0.242,95,281,21,68,7,0,4,87,20,6,44,0.3096085409252669,0.30618892508143325,0.6157974660067002,0.27467811158798283
297,진갑용,1998,0.26899999999999996,88,253,12,68,14,1,2,90,14,0,44,0.3557312252964427,0.30711610486891383,0.6628473301653566,0.3188405797101449
297,진갑용,1999,0.212,68,156,13,33,3,0,4,48,10,2,29,0.3076923076923077,0.26785714285714285,0.5755494505494505,0.23577235772357724
297,진갑용,2000,0.273,114,297,30,81,14,0,8,119,23,6,45,0.4006734006734007,0.3374233128834356,0.7380967135568363,0.29918032786885246
297,진갑용,2001,0.306,89,314,54,96,25,2,7,146,23,7,37,0.4649681528662421,0.3662790697674417,0.8312472226336839,0.3296296296296296
297,진갑용,2002,0.281,133,462,58,130,29,1,18,215,41,8,56,0.4653679653679654,0.350293542074364,0.8156615074423293,0.28865979381443296
297,진갑용,2003,0.29,126,435,64,126,20,2,21,213,36,10,34,0.4896551724137931,0.3575883575883576,0.8472435300021507,0.27631578947368424
297,진갑용,2004,0.278,129,439,60,122,20,0,24,214,34,12,51,0.4874715261958998,0.3463917525773196,0.8338632787732194,0.2692307692307692
297,진갑용,2005,0.28800000000000003,110,347,34,100,17,0,6,135,36,8,47,0.3890489913544669,0.3682864450127877,0.7573354363672546,0.3197278911564626
297,진갑용,2006,0.28800000000000003,110,358,28,103,22,0,6,143,29,5,37,0.3994413407821229,0.3494897959183674,0.7489311367004903,0.30793650793650795
297,진갑용,2007,0.24600000000000002,122,362,28,89,12,0,5,116,49,7,38,0.32044198895027626,0.34688995215310997,0.6673319411033862,0.26332288401253917
297,진갑용,2008,0.27899999999999997,105,272,34,76,7,0,11,116,30,1,41,0.4264705882352941,0.35313531353135313,0.7796059017666472,0.29545454545454547
297,진갑용,2009,0.23199999999999998,57,142,10,33,3,1,3,47,15,4,23,0.3309859154929577,0.3229813664596273,0.653967281952585,0.25862068965517243
297,진갑용,2010,0.263,100,259,36,68,8,0,10,106,45,2,57,0.4092664092664093,0.3758169934640523,0.7850834027304616,0.3020833333333333
